,date,title,source,contents,link
0,2004.12.08.,배재대 홍선기 前대전시장 名博,대전일보,배재대는 이밖에도 홍 전 시장이 대전사이언스페스티벌을 개최하고 대전시민천문대를 건립하는 등 과학의 생활화와 산업화에 기여한 공로가 커 이번에 명예 박사학위를 수여키로 했다고 설명했다. 정순훈 배재대...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=089&aid=0000013647
1,2004.07.31.,대전사이언스페스티벌 개막!,YTN,"'대전사이언스페스티벌' 현장에 이정우 기자가 다녀왔습니다. [리포트] [현장음] ""대전사이언스페스티벌 개막!!!"" '조화와 소통'을 주제로 막이 오른 대전 사이언스 페스티벌, 전통과 미래가 한 데 어우러져 과학이 빚어 낼...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=115&oid=052&aid=0000045969
2,2004.07.22.,김제동 ‘대전사이언스 축제’홍보대사,경향신문,재치있는 말로 어린이부터 중·장년층에 이르기까지 폭넓은 사랑을 받고 있는 김제동씨가 오는 30일 엑스포 과학공원과 대덕연구단지에서 열리는 ‘대전 사이언스 페스티벌 2004’의 홍보대사로 위촉됐다. 김씨는...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0000076395
3,2004.07.27.,대전사이언스 페스티벌 구경오세요,연합뉴스,오는 30일 부터 대전 엑스포과학공원에서 열리는 '대전사이언스 페스티벌'을 홍보하기 위해 27일 오후 동대문 밀리오레 앞에서 열린 마술쇼에서 공연이 펼쳐지고 있다. /서명곤/경제/ 2004.7.27 (서울...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0000714899
4,2004.07.21.,대전 사이언스 페스티벌 30일부터 11일간 열려,문화일보,국내 최대 규모의 과학축제인 ‘대전 사이언스 페스티벌 2004’ 가 오는 30일부터 다음달 9일까지 11일간의 일정으로 열린다. 올해로 다섯번째를 맞는 ‘대전 사이언스 페스티벌’은 ‘소통 과 조화’라는 주제로 대전...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=021&aid=0000076308
5,2004.07.29.,[지방이 경쟁력이다] ‘대전 사이언스 페스티벌 2004’ 30일 개막,내일신문,"축제관람이후에는 지질박물관, 화폐박물관, 시민천문대를 관람하는 시간이 마련돼 있으며 열차요금도 20% 할인된다. (문의 대전사이언스페스티벌 홍보팀 042-866-5143) /대전",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=086&aid=0000003321
6,2004.07.26.,`대전사이언스 페스티벌 2004` 축제,디지털타임스,"대전시는 오는 30일부터 다음달 9일까지 대전 엑스포과학공원과 대덕연구단지 일대에서 `소통과 조화'를 주제로한 `대전사이언스 페스티벌 2004'를 개최한다고 25일 밝혔다. 인간,공간,기술,상상,생활,미래를 키워드로...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0000075077
7,2004.07.09.,대전 사이언스 페스티벌 30일 개막,연합뉴스,국내 최대규모의 과학축제인 '대전 사이언스 페 스티벌 2004' 주요 행사 일정이 확정됐다. 대전시는 오는 30일부터 8월 9일까지 대전엑스포과학공원과 대덕연구단지 일대 에서 열리는 사이언스 페스티벌을 '인터페이스...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0000697682
8,2004.07.26.,"김제동, '대전사이언스페스티벌2004' 홍보대사 위촉",스포츠조선,인기 개그맨 김제동(31ㆍ사진)이 '대전사이언스페스티벌 2004'(7월30일~8월9일)의 공식홍보대사로 위촉됐다. 김제동은 한국의 대표적인 과학자 황우석 박사와 함께 26일 서울 프레스센터에서 위촉장을 받으며...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=076&aid=0000007501
9,2004.08.02.,[가자! 축제속으로 ⑭] 사이언스페스티벌,국정브리핑,국내 최대규모의 과학축제인 “대전사이언스페스티벌2004”가 30일 개막했다. 올해로 5회째를 맞는 대한민국 대표과학축제 ”대전사이언스페스티벌2004”는 30일부터 8월 9일까지 대전엑스포과학공원과 대덕연구단지...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=117&oid=078&aid=0000002952
